Following Athlete ID,Follow Status,Created At
15364184,Accepted,"Jul 11, 2019, 3:55:58 AM"
56668590,Accepted,"May 1, 2020, 10:13:45 PM"
23344088,Accepted,"May 7, 2020, 8:16:32 PM"
15350329,Accepted,"May 8, 2020, 2:34:36 AM"
15933416,Accepted,"May 8, 2020, 2:36:35 AM"
59323159,Accepted,"May 27, 2020, 7:04:17 PM"
8292160,Accepted,"Jun 2, 2020, 6:07:56 PM"
60147630,Accepted,"Jun 2, 2020, 6:08:18 PM"
52978272,Accepted,"Jun 8, 2020, 5:32:43 PM"
10696403,Accepted,"Sep 29, 2020, 4:35:14 PM"
44112298,Accepted,"Mar 2, 2021, 10:17:53 PM"
