Kudos Date,Kudos Type,Parent ID
"May 1, 2020, 10:15:48 PM",Activity,3380326707
"May 2, 2020, 6:49:19 PM",Activity,3385173382
"May 4, 2020, 12:07:49 AM",Activity,3390312425
"May 5, 2020, 10:55:45 PM",Activity,3398639106
"May 5, 2020, 10:55:52 PM",Activity,3403039854
"May 6, 2020, 4:59:19 PM",Activity,3407573537
"May 7, 2020, 8:15:47 PM",Activity,3413589912
"May 8, 2020, 2:45:34 AM",Activity,3414735366
"May 8, 2020, 4:03:02 PM",Activity,3418994397
"May 11, 2020, 5:32:09 AM",Activity,3429312275
"May 11, 2020, 5:32:12 AM",Activity,3425010840
"May 16, 2020, 10:03:01 PM",Activity,3461385418
"May 16, 2020, 10:03:05 PM",Activity,3460804094
"May 21, 2020, 7:30:12 PM",Activity,3485668880
"May 21, 2020, 7:30:29 PM",Activity,3481951911
"May 25, 2020, 6:49:28 PM",Activity,3498027941
"May 27, 2020, 2:13:02 AM",Activity,3506277703
"Jun 2, 2020, 6:08:43 PM",Activity,3552378943
"Jun 2, 2020, 6:09:13 PM",Activity,3547153254
"Jun 8, 2020, 5:34:07 PM",Activity,3583459933
"Mar 3, 2021, 2:20:00 AM",Activity,4880669048
"Jun 3, 2021, 8:28:37 PM",Activity,5396532947
"Sep 2, 2021, 11:01:23 PM",Activity,5895385159
"Sep 5, 2021, 5:09:33 PM",Activity,5906725552
"Sep 5, 2021, 8:41:50 PM",Activity,5906233249
